ppn;height;sex
1;175;F
0;172;M
1;185;M
1;190;M
0;169;M
1;178;F
1;182;M
0;165;F
0;162;F
0;174;M
0;180;M
0;177;F
1;173;M
1;181;F
0;170;M
0;159;F
1;171;F
1;176;F
1;168;F
1;166;F
0;154;F
0;159;F
0;161;F
0;149;F
0;170;F
1;183;M
1;189;M
1;170;M
1;192;M
0;168;M
0;166;M
0;183;M
1;179;F
1;175;F
1;171;F
1;165;F
0;166;F
0;160;F
0;159;F
0;156;F
0;155;F
1;185;M
1;178;M
1;177;M
1;172;M
0;169;M
0;173;M
0;161;M
0;160;F
1;169;F
1;175;F
1;166;F
1;165;F
0;152;F
0;158;F
0;163;F
0;148;F
0;175;F
1;181;M
1;188;M
1;169;M
1;195;M
0;170;M
0;165;M
0;187;M
1;178;F
1;174;F
1;172;F
1;164;F
0;166;F
0;159;F
0;160;F
0;155;F
0;154;F
1;189;M
1;177;M
1;179;M
1;170;M
0;168;M
0;176;M
0;166;M
1;175;F
0;172;M
0;185;M
1;190;M
1;169;M
1;178;F
1;182;M
0;165;F
1;162;F
0;174;M
0;180;M
0;177;F
1;173;M
1;181;F
0;170;M
1;159;F
1;171;F
1;176;F
1;168;F
1;166;F
0;154;F
0;159;F
0;161;F
0;149;F
0;170;F
1;183;M
1;189;M
1;170;M
1;192;M
0;168;M
0;166;M
0;183;M
1;179;F
1;175;F
1;171;F
0;165;F
0;166;F
0;160;F
0;159;F
0;156;F
0;155;F
1;185;M
1;178;M
0;177;M
1;172;M
0;169;M
0;173;M
0;161;M
0;160;F
1;169;F
1;175;F
0;166;F
1;165;F
0;152;F
0;158;F
0;163;F
0;148;F
0;175;F
1;181;M
0;188;M
1;169;M
1;195;M
0;170;M
0;165;M
0;187;M
1;178;F
1;174;F
1;172;F
1;164;F
0;166;F
1;159;F
0;160;F
0;155;F
0;154;F
1;189;M
1;177;M
0;179;M
1;170;M
0;168;M
0;176;M
0;166;M
